nodes,original_algorithm_value
"[2389991902, 27345499, 1617512823]",[None]
"[6214704108, 25533129, 104315]",[11.0]
"[3328228994, 1617647901, 1103212861]",[None]
"[25496788, 914264963, 25472326]",[None]
"[25530236, 25503579, 26671718]",[None]
"[21554368, 9475518, 914264963]",[13.0]
"[2726836322, 32921720, 21665581]",[None]
"[60728182, 25474661, 452514269]",[None]
"[107839, 351788581, 8784071419]",[None]
"[25503707, 1617532091, 25529877]",[None]
"[14866466, 6724775012, 1617596669]",[None]
"[26573670, 26573672, 12446952]",[None]
"[1587616047, 5265953459, 25507047]",[None]
"[25495617, 3140855387, 107708]",[None]
"[108398, 107769, 5521427550]",[15.0]
"[25503580, 1678452727, 5339077112]",[None]
"[1614926285, 1413151217, 1696030874]",[None]
"[25475612, 26573672, 14727254]",[None]
"[21665026, 107774, 25496899]",[None]
"[107860, 25474658, 107830]",[None]
"[107863, 5336220111, 1645813888]",[None]
"[60728185, 1707216789, 455705625]",[None]
"[7261577394, 21665589, 107738]",[20.0]
"[1617596669, 108400, 3140855379]",[None]
"[3140855372, 1707216608, 10607626]",[None]
"[622003574, 1614846692, 21578461]",[None]
"[1617596711, 1707790096, 5265953459]",[3.0]
"[452514269, 1843345666, 9512939]",[None]
"[1106056861, 5374174120, 4356572322]",[None]
"[25544138, 1614846711, 1936084669]",[2.0]
"[26671734, 266325843, 9791482]",[None]
"[25470697, 25522907, 25468770]",[None]
"[5034506700, 25470697, 1617647945]",[None]
"[6279388822, 25503716, 25470679]",[None]
"[25470853, 2726834609, 107864]",[None]
"[1614949613, 338501923, 338463530]",[7.0]
"[5006063180, 281455009, 107736]",[None]
"[25504189, 107716, 107831]",[15.0]
"[770549936, 21565338, 21583341]",[None]
"[456363900, 25378119, 21563009]",[None]
"[108398, 21392267, 9475518]",[None]
"[26671734, 25468769, 1614978621]",[None]
"[25475848, 25503580, 4034060018]",[None]
"[25503651, 1707790074, 1617647900]",[None]
"[4367041962, 107837, 21665588]",[None]
"[25503700, 21563479, 21665135]",[None]
"[237908, 1106056866, 25472764]",[None]
"[25476036, 13355224, 3140855379]",[None]
"[21665031, 14791186, 1614926320]",[None]
"[761831000, 25495640, 1678452778]",[None]
"[5177397828, 25533438, 2725915874]",[None]
"[108903, 25472672, 107697]",[None]
"[1953202903, 60728181, 266325841]",[None]
"[534993850, 1816038224, 14672924]",[None]
"[25504262, 108905, 25530312]",[None]
"[1816038211, 25503513, 25533321]",[None]
"[5177397828, 2725915874, 438170616]",[None]
"[107736, 1707216637, 256794571]",[None]
"[25474750, 10534459, 9515377]",[None]
"[107855, 1707790107, 8972536362]",[None]
"[25471371, 534993869, 5006063176]",[None]
"[9522532106, 11544696, 25496899]",[None]
"[5907366887, 5034506700, 25378119]",[None]
"[21565338, 5265953457, 25496750]",[None]
"[108896, 4697525032, 25472993]",[None]
"[1617647900, 4650375309, 1614949580]",[None]
"[25503580, 26559582, 368279307]",[None]
"[1707216902, 21583341, 9475518]",[None]
"[338501923, 6214704100, 6293128709]",[None]
"[26573673, 25472026, 107806]",[None]
"[4530270906, 25472027, 26559582]",[None]
"[1617596714, 2975783588, 1617532091]",[None]
"[107786, 1360122841, 107737]",[None]
"[25375960, 107715, 1938580050]",[25.0]
"[7684023351, 107716, 25495617]",[None]
"[21554364, 9512939, 13799043]",[None]
"[456363900, 914264960, 108895]",[None]
"[9512915, 8972536362, 338463530]",[13.0]
"[266325843, 25496899, 9576767098]",[31.0]
"[25151180, 1707790076, 25471086]",[None]
"[32921720, 21665031, 25504263]",[None]
"[107856, 282569739, 1678452821]",[None]
"[973525136, 1678452727, 6173783033]",[None]
"[21686573, 1139318714, 1694551549]",[None]
"[21645238, 25378117, 26699561]",[None]
"[1694551556, 1614949580, 107863]",[None]
"[1360122841, 1617532091, 26671718]",[3.0]
"[1707216624, 25472874, 2586635284]",[None]
"[1707216637, 770549936, 5986763688]",[3.0]
"[4174200022, 2117475741, 9475518]",[None]
"[1104473061, 9791482, 25504190]",[None]
"[26846357, 25530033, 107801]",[None]
"[338463530, 1413151217, 256794594]",[None]
"[5207477021, 14791174, 25533437]",[None]
"[1106056861, 4166662878, 1617512819]",[15.0]
"[21665713, 9512937, 21583341]",[None]
"[108895, 2117475741, 21554368]",[None]
"[12354836, 25503707, 338463529]",[None]
"[6279388824, 21554368, 107668]",[None]
"[25530236, 1616122145, 11767207]",[22.0]
"[25509525, 1617596591, 25496787]",[None]
"[4208239642, 25524297, 21665589]",[None]
"[25620550, 10607626, 534993850]",[None]
"[6173783039, 2390036493, 1678452823]",[None]
"[501766800, 5374174120, 108895]",[None]
"[10534459, 25495822, 1614926320]",[3.0]
"[104312, 1617532091, 1364168178]",[None]
"[21392279, 338575323, 4174200022]",[None]
"[1678452745, 622003574, 21554364]",[None]
"[6863550501, 1707790077, 25474751]",[None]
"[25504263, 25476022, 25530312]",[None]
"[473685478, 107769, 107837]",[None]
"[107777, 21665714, 4658088777]",[None]
"[1617596593, 351771449, 256794570]",[None]
"[14791174, 9791482, 338569568]",[8.0]
"[5521427550, 1955520879, 5932959891]",[None]
"[107668, 25620550, 4474765621]",[None]
"[338463530, 6279388824, 25496783]",[None]
"[2453947049, 2390005223, 25472347]",[None]
"[25504199, 1707216902, 1707790074]",[None]
"[104312, 1188939772, 21578461]",[None]
"[21704021, 26573667, 255747713]",[None]
"[109753, 25375976, 25378117]",[None]
"[6724775012, 25472759, 281455009]",[None]
"[282569739, 25468769, 1617512849]",[None]
"[26671719, 1697813697, 1413151217]",[None]
"[9020945997, 4697525032, 9576767098]",[None]
"[338501923, 9523033019, 25529933]",[None]
"[6060084833, 1614846616, 21665589]",[None]
"[1104496326, 1678452814, 7684041427]",[None]
"[6863503678, 5034506700, 107790]",[None]
"[25495542, 14866466, 25475848]",[None]
"[1106056863, 1614949580, 5517569293]",[None]
"[21686574, 1707216637, 3062596144]",[3.0]
"[21665588, 5454295758, 1617647944]",[None]
"[14672924, 3062596144, 108398]",[None]
"[5006063176, 6724775018, 25544138]",[None]
"[25377946, 108404, 108033]",[22.0]
"[21665588, 4421008566, 25475848]",[None]
"[1707216646, 4208239642, 7162259986]",[None]
"[13355224, 25468764, 9791482]",[None]
"[25474751, 9512939, 6173783039]",[None]
"[1617647900, 1106056861, 21665581]",[7.0]
"[25375957, 8481466953, 10572786]",[20.0]
"[1684437690, 1614846683, 21665031]",[None]
"[108017, 21665140, 534993850]",[None]
"[1614846675, 5374174120, 1938580050]",[None]
"[25151180, 107852, 25530034]",[None]
"[108903, 25496851, 25471736]",[None]
"[4174200035, 9287396538, 104302]",[12.0]
"[6863503678, 4421008555, 5521427550]",[None]
"[25376002, 107807, 26671724]",[None]
"[1617532092, 21704021, 5986562231]",[12.0]
"[21392279, 25378119, 60728182]",[None]
"[25495542, 1617596606, 4356572322]",[None]
"[2389991907, 9476442, 25476040]",[None]
"[2117475741, 25151180, 25472348]",[45.0]
"[5517569293, 25472757, 9475528]",[12.0]
"[25470678, 7256356296, 6586653170]",[None]
"[1707790024, 1274040745, 25504190]",[None]
"[1697813698, 25472874, 25468764]",[None]
"[5517569293, 1697813659, 21665719]",[None]
"[761831060, 919682930, 26374236]",[None]
"[1816038230, 26848675, 1104496344]",[None]
"[2390008569, 2390036493, 25475848]",[8.0]
"[107851, 4115887296, 25472027]",[None]
"[21665140, 1106056861, 25529938]",[None]
"[4211515634, 13250138, 25472874]",[None]
"[452486137, 1707790096, 9515377]",[None]
"[21590614, 1614949613, 1614846702]",[None]
"[10574749, 2140823631, 107856]",[None]
"[26699565, 1678452745, 25375957]",[None]
"[108014, 366518767, 6173783033]",[None]
"[9475519, 25504263, 9475518]",[None]
