nodes,original_algorithm_value,anytime_algorithm_values
"[2389991902, 27345499, 1617512823]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[5521427550, 25503580, 1678452727]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[9512939, 1106056861, 5374174120]",[11.0],"[11.0, 12.0, 12.0, 11.0, 16.0, 19.0, 15.0, None, 11.0, None, None, None, None, None]"
"[338501923, 338463530, 5006063180]",[None],[None]
"[281455009, 107736, 25504189]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[60728181, 266325841, 534993850]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[25472026, 107806, 4530270906]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[107856, 282569739, 1678452821]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[108895, 2117475741, 21554368]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[473685478, 107769, 107837]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[25468769, 1617512849, 26671719]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[10572786, 1684437690, 1614846683]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
