nodes,original_algorithm_value,anytime_algorithm_values
"[2389991902, 27345499, 1617512823]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[3140855387, 107708, 108398]",[8.0],"[8.0, 16.0, None, None, None, None, 39.0, None, 18.0, None, 18.0, 18.0, None, None, None, None, 33.0, None, 47.0, 39.0, None]"
"[3140855379, 3140855372, 1707216608]",[None],"[0.0, None, 7.0, 12.0, None, None, None, 6.0, 17.0, 17.0, 10.0, 24.0, 10.0, None, None, None, None, None, None, None, 11.0]"
"[107831, 770549936, 21565338]",[None],"[None, 47.0, None, 52.0, 46.0, None, 49.0, None, 48.0, 47.0, None, None, None, 52.0, None, 49.0, 52.0, None, None, None, None]"
"[761831000, 25495640, 1678452778]",[None],"[None, None, None, None, None, None, None, 58.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[25496899, 5907366887, 5034506700]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[25375960, 107715, 1938580050]",[24.0],"[24.0, 23.0, 37.0, 24.0, None, 41.0, None, None, None, None, None, None, None, None, None, None, None, None, 45.0, 39.0, None, None]"
"[1707216624, 25472874, 2586635284]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[25496787, 4208239642, 25524297]",[8.0],"[8.0, 7.0, None, None, 10.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[4658088777, 1617596593, 351771449]",[7.0],"[7.0, 3.0, 3.0, 2.0, 10.0, 4.0, None, 19.0, 16.0, 25.0, 25.0, 17.0, None, 23.0, None, 23.0, None, 18.0, 18.0, 25.0, None]"
"[26671719, 1697813697, 1413151217]",[None],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"[3062596144, 108398, 5006063176]",[29.0],"[29.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
